,Unnamed: 0,salet reductions,salet score,reast reductions,reast score,crate reductions,crate score,trace reductions,trace score,slate reductions,slate score,crane reductions,crane score,word1,word2,word3,word4,word5,RepeatN,WordCharacter,salet Topics,reast Topics,crate Topics,trace Topics,slate Topics,crane Topics,salet Description,reast Description,crate Description,trace Description,slate Description,crane Description,salet Attitude,reast Attitude,crate Attitude,trace Attitude,slate Attitude,crane Attitude,Number of reported results,Number in hard mode,1 Try,2 Tries,3 Tries,4 Tries,5 Tries,6 Tries,Above 6 Tries,cluster
0,0,6,2,10,3,30,3,30,3,3.0,2,36,3,18,10,20,12,15,0,7,1,1,0,1,1,1,0,0,0,0,0,1,0.44303843,0.44141603,0.44141603,0.4299089,0.44303843,0.43624184,80630,1362,0.01,0.03,0.23,0.39,0.24,0.09,0.01,0
1,1,15,3,9,4,3,3,3,3,8.0,3,1,2,2,16,0,13,10,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.5011362,0.4588719,101503,1763,0.01,0.05,0.23,0.31,0.24,0.14,0.02,2
2,2,32,3,19,3,6,3,6,3,24.0,3,7,3,6,13,17,6,4,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.46805245,0.4631398,0.4512561,0.4631398,0.4588719,91477,1913,0.01,0.03,0.13,0.27,0.3,0.22,0.04,0
3,3,34,4,23,4,16,3,16,3,24.0,3,20,3,16,19,4,17,24,0,7,2,0,1,2,2,2,0,0,0,0,0,0,0.4631398,0.48569387,0.4344419,0.42814162,0.4631398,0.4588719,107134,2242,0.01,0.04,0.16,0.3,0.3,0.17,0.02,2
4,4,38,4,19,3,8,2,8,2,38.0,4,5,3,3,16,8,13,10,0,12,2,2,1,2,2,2,0,0,0,0,0,0,0.42349446,0.44999126,0.4488398,0.43619344,0.42349446,0.41658968,153880,3017,0.01,0.09,0.35,0.34,0.16,0.05,0.01,2
5,5,17,3,12,2,16,3,16,3,24.0,3,13,3,5,0,21,14,17,0,7,0,1,0,1,1,1,0,0,0,0,0,0,0.440463,0.43897042,0.440463,0.42813227,0.440463,0.43497288,137586,3073,0.01,0.04,0.15,0.26,0.29,0.21,0.04,2
6,6,2,2,14,3,10,3,10,3,10.0,3,12,3,0,1,1,4,24,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.470649,132726,3345,0.01,0.02,0.13,0.29,0.31,0.2,0.03,2
7,7,5,3,11,3,15,3,4,2,9.0,3,6,3,19,0,13,6,24,0,7,2,1,1,1,2,1,0,0,0,0,0,0,0.47820136,0.49898824,0.49898824,0.4777577,0.49898824,0.49070868,169484,3985,0.01,0.04,0.21,0.3,0.24,0.15,0.05,2
8,8,17,3,24,3,5,3,9,3,24.0,3,1,2,15,0,13,8,2,0,3,0,1,0,2,1,1,0,0,0,0,0,0,0.42684838,0.42684838,0.42684838,0.4142214,0.42684838,0.42343962,205880,4655,0.01,0.09,0.35,0.34,0.16,0.05,0.01,3
9,9,1,2,3,2,16,3,16,3,1.0,2,13,3,18,13,11,0,17,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,209609,4955,0.01,0.09,0.32,0.32,0.18,0.07,0.01,3
10,10,4,3,3,3,6,3,6,3,4.0,3,7,3,18,6,8,17,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.49520612,0.43437365,0.4631398,0.4512561,0.49520612,0.4588719,222197,5640,0.01,0.08,0.32,0.32,0.18,0.08,0.02,3
11,11,37,3,19,3,9,3,9,3,37.0,3,7,3,15,16,14,23,24,0,7,2,1,1,2,2,1,0,0,0,0,0,0,0.45702893,0.45702893,0.43649414,0.42214465,0.45702893,0.4332604,220950,6206,0.01,0.02,0.11,0.24,0.31,0.26,0.06,3
12,12,8,3,9,3,17,3,23,3,12.0,3,6,3,15,13,8,13,19,0,7,1,1,1,1,1,1,0,0,0,0,0,0,0.44603086,0.44603086,0.44603086,0.43526524,0.44603086,0.42907512,280622,7094,0.01,0.16,0.37,0.28,0.12,0.04,0.01,3
13,13,8,3,1,2,6,3,4,2,12.0,3,16,3,17,13,1,14,19,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.49085552,0.4512561,0.4631398,0.4588719,243964,6589,0.01,0.08,0.29,0.34,0.2,0.08,0.01,3
14,14,36,3,19,3,1,2,1,2,36.0,3,1,2,15,16,8,2,10,0,3,2,1,0,1,2,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,273727,7409,0.01,0.08,0.3,0.33,0.19,0.07,0.01,3
15,15,37,4,31,4,4,3,4,3,29.0,4,3,3,22,7,13,2,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.45522124,0.45032683,0.45581776,0.44034013,0.45522124,0.4502327,241489,6850,0.01,0.03,0.17,0.33,0.29,0.15,0.03,3
16,16,36,3,19,3,1,2,1,2,36.0,3,1,2,2,16,8,12,15,0,7,1,1,0,1,2,1,0,0,0,0,0,0,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,269929,7630,0.01,0.05,0.28,0.38,0.2,0.07,0.01,3
17,17,17,3,33,3,30,3,30,3,7.0,3,13,3,10,12,14,11,11,1,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.43203363,0.4631398,0.4512561,0.43203363,0.4588719,258038,8317,0.01,0.01,0.11,0.29,0.33,0.21,0.04,3
18,18,5,3,4,3,16,3,16,3,4.0,3,13,3,18,19,6,0,17,0,7,2,1,1,1,2,2,1,0,0,0,0,0,0.39738593,0.4374761,0.4374761,0.42527074,0.39738593,0.4303008,276404,8708,0.01,0.06,0.25,0.34,0.23,0.09,0.01,3
19,19,15,3,5,3,4,3,3,3,8.0,3,4,3,22,6,0,2,10,0,7,1,1,1,1,1,1,0,0,0,0,0,0,0.4631398,0.46524328,0.46524328,0.4482163,0.5011362,0.45520332,302348,10163,0.01,0.04,0.22,0.37,0.24,0.1,0.02,3
20,20,8,3,9,3,17,3,23,3,12.0,3,6,3,12,13,20,13,19,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.49335417,0.49335417,0.49335417,0.47982502,0.49335417,0.47578222,331844,11451,0.01,0.09,0.29,0.33,0.19,0.07,0.01,3
21,21,33,3,4,3,16,3,16,3,24.0,3,20,3,15,4,17,10,24,0,7,1,1,1,2,1,1,0,0,0,0,0,0,0.4631398,0.4344419,0.4344419,0.42814162,0.4631398,0.4588719,296968,11148,0.01,0.04,0.17,0.3,0.27,0.17,0.04,3
22,22,17,3,32,2,9,3,9,2,6.0,2,3,2,2,13,20,11,3,0,6,1,1,0,1,1,1,0,0,0,0,0,0,0.43211174,0.43203363,0.44896305,0.4221148,0.43203363,0.42487174,313220,11592,0.01,0.07,0.29,0.35,0.2,0.08,0.01,3
23,23,36,3,21,4,9,3,9,3,36.0,3,5,3,22,16,20,13,6,0,12,1,1,1,2,2,1,0,0,0,0,0,0,0.4631398,0.44169223,0.4488398,0.43619344,0.4631398,0.4368818,294687,11524,0.0,0.02,0.18,0.39,0.27,0.12,0.02,3
24,24,3,3,9,3,17,3,23,3,1.0,2,36,3,11,7,6,7,19,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0.4711496,0.4711496,0.4711496,0.45685515,0.4649974,0.46278685,341314,13347,0.01,0.1,0.25,0.27,0.19,0.12,0.05,3
25,25,2,2,1,2,6,3,5,3,1.0,2,24,4,19,6,14,18,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0.43969,0.43969,0.49267116,0.4764501,0.43969,0.43689653,351663,13606,0.01,0.13,0.34,0.3,0.15,0.06,0.01,3
26,26,4,2,4,3,17,3,23,3,6.0,2,36,3,12,13,8,18,19,0,3,1,2,1,2,2,2,0,0,0,0,0,0,0.46222457,0.4626031,0.4626031,0.4468941,0.46222457,0.45401382,361908,14205,0.03,0.13,0.32,0.29,0.16,0.07,0.01,3
27,27,5,3,2,2,5,3,5,3,1.0,2,7,3,18,6,0,17,3,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0.42337185,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719,358176,14609,0.01,0.07,0.22,0.28,0.25,0.14,0.04,3
28,28,1,2,2,2,6,3,6,3,1.0,2,12,3,15,10,4,0,19,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.4631398,0.47968784,0.46583074,0.4631398,0.470649,359679,14813,0.01,0.1,0.28,0.31,0.19,0.09,0.02,3
29,29,4,2,8,3,13,2,13,3,4.0,2,26,2,0,10,14,5,19,0,10,1,1,0,1,1,1,0,0,0,0,0,0,0.4631398,0.43675643,0.4631398,0.4512561,0.4631398,0.4588719,319698,13708,0.01,0.04,0.22,0.36,0.25,0.11,0.02,3
30,30,8,3,10,3,32,3,32,3,3.0,2,39,4,18,9,8,11,11,1,3,0,1,0,1,1,1,0,0,0,0,0,0,0.49267536,0.514403,0.514403,0.49836618,0.5050056,0.5116248,311018,13716,0.01,0.03,0.17,0.33,0.27,0.16,0.03,3
31,31,7,2,22,3,16,3,16,3,2.0,2,20,3,4,10,3,4,17,1,7,0,0,1,1,1,0,0,0,0,0,0,0,0.47458103,0.48569384,0.44919956,0.43918574,0.47458103,0.47365552,288228,13340,0.01,0.03,0.13,0.24,0.3,0.24,0.05,3
32,32,16,4,3,3,3,3,3,3,5.0,2,4,3,5,16,0,12,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.49872226,0.508008,0.508008,0.49360895,0.48483622,0.48446646,336236,15369,0.01,0.1,0.2,0.24,0.24,0.17,0.03,3
33,33,36,3,20,3,13,3,13,3,36.0,3,16,3,7,19,12,14,17,0,7,1,1,0,1,2,1,0,0,0,0,0,0,0.5165299,0.5165299,0.5165299,0.49938706,0.5165299,0.50604177,305372,13846,0.01,0.05,0.22,0.34,0.25,0.11,0.02,3
34,34,1,2,3,3,8,2,8,2,1.0,2,9,2,15,0,20,18,4,0,7,1,1,0,1,1,1,0,0,0,0,0,0,0.46621624,0.46739003,0.46621624,0.45149443,0.46621624,0.4596588,304830,13480,0.01,0.08,0.26,0.32,0.21,0.1,0.02,3
35,35,8,3,23,4,1,2,1,2,3.0,3,1,2,20,10,2,4,17,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0.47458097,0.48569387,0.4631398,0.4512561,0.47458097,0.4588719,278826,10631,0.01,0.04,0.18,0.3,0.28,0.16,0.03,3
36,36,4,3,3,3,1,2,3,3,5.0,3,15,4,20,10,19,17,0,0,3,1,1,0,1,1,2,0,0,0,0,0,0,0.5033505,0.48519015,0.48088259,0.47168097,0.48519015,0.4785118,269885,9310,0.01,0.07,0.23,0.34,0.24,0.1,0.01,3
37,37,36,3,2,2,13,3,13,3,36.0,3,5,3,17,13,1,8,13,0,7,0,0,0,1,2,1,0,0,0,0,0,0,0.48421344,0.48107642,0.48421344,0.4721058,0.48421344,0.47839105,277471,3249,0.01,0.06,0.29,0.34,0.21,0.08,0.01,3
