,Word,salet guesschain,salet reductions,salet score,reast guesschain,reast reductions,reast score,crate guesschain,crate reductions,crate score,trace guesschain,trace reductions,trace score,slate guesschain,slate reductions,slate score,crane guesschain,crane reductions,crane score,word1,word2,word3,word4,word5
0,slump,salet slump,6,2,reast ikons slump,10,3,crate fonly slump,30,3,trace fonly slump,30,3,slate slump,3.0,2,crane flout slump,36,3,s,l,u,m,p
1,crank,salet acorn crank,15,3,reast braid cramp crank,9,4,crate cramp crank,3,3,trace cramp crank,3,3,slate charm crank,8.0,3,crane crank,1,2,c,r,a,n,k
2,gorge,salet dogie gorge,32,3,reast prime gorge,19,3,crate burse gorge,6,3,trace burse gorge,6,3,slate dogie gorge,24.0,3,crane emure gorge,7,3,g,o,r,g,e
3,query,salet dogie perky query,34,4,reast prime elder query,23,4,crate fewer query,16,3,trace fewer query,16,3,slate remen query,24.0,3,crane reest query,20,3,q,u,e,r,y
4,drink,salet monic brink drink,38,4,reast droop drink,19,3,crate drink,8,2,trace drink,8,2,slate monic brink drink,38.0,4,crane brink drink,5,3,d,r,i,n,k
5,favor,salet carny favor,17,3,reast favor,12,2,crate manor favor,16,3,trace manor favor,16,3,slate carny favor,24.0,3,crane molar favor,13,3,f,a,v,o,r
6,abbey,salet abbey,2,2,reast algae abbey,14,3,crate almes abbey,10,3,trace almes abbey,10,3,slate abeam abbey,10.0,3,crane asset abbey,12,3,a,b,b,e,y
7,tangy,salet catch tangy,5,3,reast cital tangy,11,3,crate aloft tangy,15,3,trace tangy,4,2,slate cagot tangy,9.0,3,crane natal tangy,6,3,t,a,n,g,y
8,panic,salet carny panic,17,3,reast cahow panic,24,3,crate havoc panic,5,3,trace cacao panic,9,3,slate carny panic,24.0,3,crane panic,1,2,p,a,n,i,c
9,solar,salet solar,1,2,reast solar,3,2,crate manor solar,16,3,trace manor solar,16,3,slate solar,1.0,2,crane molar solar,13,3,s,o,l,a,r
10,shire,salet shine shire,4,3,reast loser shire,3,3,crate burse shire,6,3,trace burse shire,6,3,slate shine shire,4.0,3,crane emure shire,7,3,s,h,i,r,e
11,proxy,salet monic proxy,37,3,reast droop proxy,19,3,crate drink proxy,9,3,trace drink proxy,9,3,slate monic proxy,37.0,3,crane drips proxy,7,3,p,r,o,x,y
12,point,salet input point,8,3,reast input point,9,3,crate snout point,17,3,trace month point,23,3,slate input point,12.0,3,crane found point,6,3,p,o,i,n,t
13,robot,salet input robot,8,3,reast robot,1,2,crate story robot,6,3,trace robot,4,2,slate input robot,12.0,3,crane lirot robot,16,3,r,o,b,o,t
14,prick,salet monic prick,36,3,reast droop prick,19,3,crate prick,1,2,trace prick,1,2,slate monic prick,36.0,3,crane prick,1,2,p,r,i,c,k
15,wince,salet dogie mince wince,37,4,reast dicey mince wince,31,4,crate mince wince,4,3,trace mince wince,4,3,slate dogie mince wince,29.0,4,crane mince wince,3,3,w,i,n,c,e
16,crimp,salet monic crimp,36,3,reast droop crimp,19,3,crate crimp,1,2,trace crimp,1,2,slate monic crimp,36.0,3,crane crimp,1,2,c,r,i,m,p
17,knoll,salet clour knoll,17,3,reast could knoll,33,3,crate fonly knoll,30,3,trace fonly knoll,30,3,slate could knoll,7.0,3,crane input knoll,13,3,k,n,o,l,l
18,sugar,salet scrap sugar,5,3,reast solar sugar,4,3,crate manor sugar,16,3,trace manor sugar,16,3,slate scrap sugar,4.0,3,crane molar sugar,13,3,s,u,g,a,r
19,whack,salet acorn whack,15,3,reast black whack,5,3,crate black whack,4,3,trace black whack,3,3,slate charm whack,8.0,3,crane black whack,4,3,w,h,a,c,k
20,mount,salet input mount,8,3,reast input mount,9,3,crate snout mount,17,3,trace month mount,23,3,slate input mount,12.0,3,crane found mount,6,3,m,o,u,n,t
21,perky,salet dogie perky,33,3,reast fewer perky,4,3,crate fewer perky,16,3,trace fewer perky,16,3,slate remen perky,24.0,3,crane reest perky,20,3,p,e,r,k,y
22,could,salet clour could,17,3,reast could,32,2,crate child could,9,3,trace could,9,2,slate could,6.0,2,crane could,3,2,c,o,u,l,d
23,wrung,salet monic wrung,36,3,reast droop brink wrung,21,4,crate drink wrung,9,3,trace drink wrung,9,3,slate monic wrung,36.0,3,crane brink wrung,5,3,w,r,u,n,g
24,light,salet flout light,3,3,reast input light,9,3,crate snout light,17,3,trace month light,23,3,slate light,1.0,2,crane flout light,36,3,l,i,g,h,t
25,those,salet those,2,2,reast those,1,2,crate theme those,6,3,trace theme those,5,3,slate those,1.0,2,crane dobie spoke those,24,4,t,h,o,s,e
