,Word,RepeatN,WordCharacter,salet Topics,reast Topics,crate Topics,trace Topics,slate Topics,crane Topics,salet Description,reast Description,crate Description,trace Description,slate Description,crane Description,salet Attitude,reast Attitude,crate Attitude,trace Attitude,slate Attitude,crane Attitude
0,slump,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,sport,0.44303843,0.44141603,0.44141603,0.4299089,0.44303843,0.43624184
1,crank,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.5011362,0.4588719
2,gorge,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.46805245,0.4631398,0.4512561,0.4631398,0.4588719
3,query,0,NN,species,agent,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.48569387,0.4344419,0.42814162,0.4631398,0.4588719
4,drink,0,VB,species,species,species,species,species,species,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42349446,0.44999126,0.4488398,0.43619344,0.42349446,0.41658968
5,favor,0,NN,agent,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.440463,0.43897042,0.440463,0.42813227,0.440463,0.43497288
6,abbey,1,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.470649
7,tangy,0,NN,species,place,species,place,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.47820136,0.49898824,0.49898824,0.4777577,0.49898824,0.49070868
8,panic,0,JJ,agent,place,place,species,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.42684838,0.42684838,0.42684838,0.4142214,0.42684838,0.42343962
9,solar,0,JJ,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.4631398,0.4631398,0.4631398,0.4512561,0.4631398,0.4588719
10,shire,0,NN,place,place,place,place,place,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.49520612,0.43437365,0.4631398,0.4512561,0.49520612,0.4588719
11,proxy,0,NN,species,place,species,species,species,place,entertainment,entertainment,entertainment,entertainment,entertainment,entertainment,0.45702893,0.45702893,0.43649414,0.42214465,0.45702893,0.4332604
