,0,level_0,index,Date,Contest number,Word,Number of reported results,Number in hard mode,1 Try,2 Tries,3 Tries,4 Tries,5 Tries,6 Tries,Above 6 Tries,U,L
0,-309.47058,305,306,2022-11-09,508,rainy,1771.0,2678,0.01,0.16,0.38,0.31,0.11,0.03,0.01,9431.561,-10050.503
1,607.6349,306,307,2022-11-10,509,unite,-1517.0,2575,0.01,0.11,0.31,0.33,0.18,0.05,0.01,7024.5996,-5809.3306
2,-491.65878,307,308,2022-11-11,510,medal,-1474.0,2438,0.0,0.05,0.25,0.38,0.23,0.08,0.01,8516.9,-9500.219
3,1472.884,308,309,2022-11-12,511,valet,-1333.0,2356,0.0,0.04,0.22,0.38,0.25,0.09,0.01,10286.883,-7341.115
4,-1886.8582,309,310,2022-11-13,512,inane,425.0,2515,0.0,0.08,0.25,0.3,0.21,0.13,0.03,6422.3687,-10196.086
5,1056.873,310,311,2022-11-14,513,maple,1451.0,2467,0.01,0.06,0.26,0.36,0.21,0.08,0.01,10390.829,-8277.083
6,-561.266,311,312,2022-11-15,514,snarl,939.0,2650,0.0,0.05,0.21,0.31,0.24,0.15,0.04,10481.682,-11604.214
7,-219.38443,312,313,2022-11-16,515,baker,-1899.0,2541,0.0,0.05,0.16,0.23,0.24,0.22,0.1,13924.732,-14363.503
8,-1638.5974,313,314,2022-11-17,516,there,1889.0,2530,0.0,0.14,0.35000000000000003,0.33,0.14,0.04,0.0,6243.769,-9520.965
9,122.950264,314,315,2022-11-18,517,glyph,1743.0,2899,0.0,0.02,0.23,0.49,0.2,0.05,0.01,11358.795,-11112.8955
10,-726.42566,315,316,2022-11-19,518,avert,-4459.0,2400,0.0,0.07,0.26,0.35000000000000003,0.22,0.09,0.01,5643.173,-7096.0244
11,-1869.9058,316,317,2022-11-20,519,brave,242.0,2396,0.01,0.06,0.17,0.27,0.27,0.18,0.05,3319.267,-7059.0786
12,1529.2534,317,318,2022-11-21,520,axiom,-703.0,2382,0.0,0.05,0.19,0.33,0.27,0.13,0.03,7940.567,-4882.0605
13,1419.5662,318,319,2022-11-22,521,prime,3149.0,2534,0.01,0.1,0.26,0.32,0.21,0.09,0.01,9478.507,-6639.375
14,-1800.5708,319,320,2022-11-23,522,drive,-774.0,2451,0.01,0.12,0.32,0.3,0.18,0.06,0.01,4631.9985,-8233.141
15,-1907.4495,320,321,2022-11-24,523,feast,1042.0,2725,0.05,0.13,0.25,0.27,0.19,0.1,0.02,14689.928,-18504.824
16,-138.22105,321,322,2022-11-25,524,itchy,-3508.0,2329,0.0,0.08,0.28,0.4,0.18,0.05,0.01,7914.87,-8191.313
17,91.80248,322,323,2022-11-26,525,clean,2184.0,2424,0.01,0.17,0.36,0.31,0.12,0.03,0.0,5847.574,-5663.9697
18,-1288.5159,323,324,2022-11-27,526,happy,-1175.0,2356,0.0,0.06,0.28,0.39,0.19,0.06,0.01,13975.706,-16552.736
19,-1093.26,324,325,2022-11-28,527,tepid,845.0,2484,0.0,0.1,0.38,0.35000000000000003,0.13,0.03,0.0,17855.262,-20041.78
20,1655.9786,325,326,2022-11-29,528,undue,-2312.0,2316,0.0,0.03,0.19,0.35000000000000003,0.29,0.13,0.02,8030.905,-4718.9473
21,-423.13202,326,327,2022-11-30,529,study,-1170.0,2405,0.0,0.06,0.3,0.33,0.19,0.1,0.02,11875.919,-12722.184
22,2491.3853,327,328,2022-12-01,530,eject,59.0,2200,0.0,0.02,0.11,0.35000000000000003,0.36,0.14,0.02,13293.849,-8311.078
23,-2739.0793,328,329,2022-12-02,531,chafe,2018.0,2343,0.0,0.06,0.3,0.33,0.19,0.09,0.02,3085.9353,-8564.095
24,307.7636,329,330,2022-12-03,532,torso,-773.0,2260,0.0,0.04,0.35000000000000003,0.36,0.17,0.06,0.01,12608.148,-11992.622
25,-298.856,330,331,2022-12-04,533,adore,1704.0,2398,0.02,0.17,0.32,0.29,0.15,0.05,0.01,6230.687,-6828.399
26,310.0956,331,332,2022-12-05,534,woken,-2424.0,2200,0.0,0.02,0.1,0.25,0.36,0.23,0.04,7966.226,-7346.035
27,16.49885,332,333,2022-12-06,535,amber,356.0,2261,0.0,0.06,0.22,0.33,0.24,0.12,0.03,9367.184,-9334.187
28,-769.0228,333,334,2022-12-07,536,joust,1390.0,2388,0.0,0.06,0.29,0.34,0.21,0.08,0.02,4350.2563,-5888.3027
